,close,high,low,open,volume,adjclose,date,changes,compound,sentiment_type
1,248,242,244,246,357733262,246,2023-01-02,positive,-0.2263,NEGATIVE
2,247,245,246,246,377452410,246,2023-01-03,negative,0.6369,POSITIVE
3,261,246,246,259,632924961,259,2023-01-04,positive,0.8271,POSITIVE
4,259,256,259,256,342934041,256,2023-01-05,negative,0.0,NEUTRAL
5,260,255,256,260,417893264,260,2023-01-06,positive,0.8256,POSITIVE
6,263,260,260,261,327712514,261,2023-01-07,positive,-0.1027,NEGATIVE
7,274,261,261,274,491734030,274,2023-01-08,positive,,
8,283,272,274,273,783671054,273,2023-01-09,positive,0.0772,POSITIVE
9,278,271,273,277,470259383,277,2023-01-10,negative,0.0,NEUTRAL
10,285,275,277,285,466458216,285,2023-01-11,positive,0.7351,POSITIVE
11,288,280,287,288,655903255,288,2023-01-12,positive,0.5106,POSITIVE
12,295,285,288,294,561853825,294,2023-01-13,positive,0.0,NEUTRAL
13,314,294,294,305,1087358891,305,2023-01-14,positive,0.4753,POSITIVE
14,306,293,305,302,562889882,302,2023-01-15,negative,0.1027,POSITIVE
15,308,294,302,299,602126315,299,2023-01-16,positive,0.6588,POSITIVE
16,305,297,299,300,529752305,300,2023-01-17,negative,0.0,NEUTRAL
17,305,283,300,287,844268123,287,2023-01-18,neutral,0.0,NEUTRAL
18,295,287,287,295,431382130,295,2023-01-19,negative,0.7351,POSITIVE
19,305,287,295,305,669836014,305,2023-01-20,positive,0.0,NEUTRAL
20,310,299,305,299,755028964,299,2023-01-21,positive,0.4019,POSITIVE
21,311,299,299,303,571771274,303,2023-01-22,positive,0.0,NEUTRAL
22,307,302,303,306,520678637,306,2023-01-23,negative,0.4019,POSITIVE
23,323,300,305,301,887528741,301,2023-01-24,positive,0.0,NEUTRAL
24,313,295,301,307,667706772,307,2023-01-25,negative,0.4404,POSITIVE
25,309,302,307,305,540954388,305,2023-01-26,negative,0.743,POSITIVE
26,310,300,305,308,484897937,308,2023-01-27,positive,-0.3612,NEGATIVE
27,313,304,308,306,434715822,306,2023-01-28,positive,,
28,320,305,306,317,664644693,317,2023-01-29,positive,0.1759,POSITIVE
29,320,304,317,307,630938594,307,2023-01-30,neutral,0.6249,POSITIVE
30,314,306,307,312,487472184,312,2023-01-31,negative,-0.1027,NEGATIVE
31,319,306,312,317,616638893,317,2023-02-01,positive,-0.25,NEGATIVE
32,333,317,317,323,909077028,323,2023-02-02,positive,0.0,NEUTRAL
33,335,319,323,332,861598551,332,2023-02-03,positive,0.5994,POSITIVE
34,334,328,332,331,440935963,331,2023-02-04,negative,0.4588,POSITIVE
35,337,325,331,328,662969265,328,2023-02-05,positive,0.8481,POSITIVE
36,331,322,328,325,521894604,325,2023-02-06,negative,0.2732,POSITIVE
37,334,324,325,333,521804212,333,2023-02-07,positive,0.4939,POSITIVE
38,335,324,333,328,515127902,328,2023-02-08,positive,0.296,POSITIVE
39,329,303,328,306,778492045,306,2023-02-09,negative,0.128,POSITIVE
40,309,303,306,306,492880078,306,2023-02-10,negative,0.8225,POSITIVE
41,311,305,306,311,348569462,311,2023-02-11,positive,0.4003,POSITIVE
42,320,307,311,313,520994815,313,2023-02-12,positive,0.4019,POSITIVE
43,315,284,313,294,1322505522,294,2023-02-13,negative,0.4019,POSITIVE
44,301,290,294,296,662196432,296,2023-02-14,negative,0.4927,POSITIVE
45,317,294,296,317,667519216,317,2023-02-15,positive,0.2023,POSITIVE
46,327,305,317,305,1036335164,305,2023-02-16,positive,0.7964,POSITIVE
47,316,304,305,313,701575686,313,2023-02-17,negative,0.0,NEUTRAL
48,319,313,313,317,467884011,317,2023-02-18,positive,0.5574,POSITIVE
