,date,close,high,low,open,volume,adjclose,changes,compound,sentiment_type
1,2023-01-02,16759,16572,16626,16688,12097775227,16688,positive,0.3818,POSITIVE
2,2023-01-03,16760,16622,16689,16680,13903079207,16680,positive,0.0,NEUTRAL
3,2023-01-04,16965,16668,16680,16863,18421743322,16863,positive,0.6369,POSITIVE
4,2023-01-05,16884,16790,16863,16837,13692758566,16837,negative,0.4657,POSITIVE
5,2023-01-06,16992,16716,16836,16952,14413662913,16952,positive,0.8256,POSITIVE
6,2023-01-07,16975,16914,16952,16955,7714767174,16955,negative,0.2491,POSITIVE
7,2023-01-08,17091,16924,16954,17091,9768827914,17091,positive,0.128,POSITIVE
8,2023-01-09,17390,17094,17094,17197,18624736866,17197,positive,0.8515,POSITIVE
9,2023-01-10,17485,17163,17193,17446,15808338949,17446,positive,0.807,POSITIVE
10,2023-01-11,17935,17338,17446,17935,18372283782,17935,positive,0.8555,POSITIVE
11,2023-01-12,19030,17995,18118,18870,34971338710,18870,positive,0.9081,POSITIVE
12,2023-01-13,19964,18753,18869,19910,29225029694,19910,positive,0.1984,POSITIVE
13,2023-01-14,21075,19908,19911,20976,38967784639,20976,positive,0.3919,POSITIVE
14,2023-01-15,20994,20607,20977,20881,19298407543,20881,negative,0.7269,POSITIVE
15,2023-01-16,21361,20716,20882,21170,26792494050,21170,positive,0.6588,POSITIVE
16,2023-01-17,21439,20979,21176,21162,24999983362,21162,positive,-0.2003,NEGATIVE
17,2023-01-18,21565,20542,21161,20689,30005625418,20689,positive,0.8481,POSITIVE
18,2023-01-19,21163,20685,20687,21087,21152848261,21087,negative,0.7814,POSITIVE
19,2023-01-20,22692,20919,21085,22677,28799154319,22677,positive,0.5106,POSITIVE
20,2023-01-21,23282,22512,22677,22778,32442278429,22778,positive,0.5106,POSITIVE
21,2023-01-22,23057,22388,22778,22720,24746386230,22720,negative,0.6239,POSITIVE
22,2023-01-23,23126,22654,22721,22934,26518700512,22934,positive,0.453,POSITIVE
23,2023-01-24,23134,22550,22930,22636,26405069715,22636,positive,0.7445,POSITIVE
24,2023-01-25,23722,22406,22639,23118,30685366709,23118,positive,0.6705,POSITIVE
25,2023-01-26,23237,22911,23109,23033,26357839322,23033,negative,0.7579,POSITIVE
26,2023-01-27,23418,22655,23031,23079,25383335641,23079,positive,0.8442,POSITIVE
27,2023-01-28,23166,22909,23080,23031,14712928379,23031,negative,0.0516,POSITIVE
28,2023-01-29,23920,22985,23031,23775,27423687259,23775,positive,0.0,NEUTRAL
29,2023-01-30,23789,22658,23775,22840,27205595568,22840,negative,0.7003,POSITIVE
30,2023-01-31,23225,22766,22841,23139,22837828665,23139,negative,0.7939,POSITIVE
31,2023-02-01,23765,22878,23138,23724,26683255504,23724,positive,0.6341,POSITIVE
32,2023-02-02,24167,23469,23721,23472,32066936882,23472,positive,0.4926,POSITIVE
33,2023-02-03,23678,23280,23469,23449,27083066007,23449,negative,0.3612,POSITIVE
34,2023-02-04,23557,23292,23446,23332,15639298538,23332,negative,-0.6249,NEGATIVE
35,2023-02-05,23423,22842,23332,22956,19564262605,22956,negative,0.4939,POSITIVE
36,2023-02-06,23119,22692,22954,22760,23825006542,22760,negative,0.296,POSITIVE
37,2023-02-07,23311,22756,22757,23264,27187964471,23264,positive,0.3818,POSITIVE
