,date,close,high,low,open,volume,adjclose,changes,compound,sentiment_type
1,1/2/2023,1220,1195,1201,1215,3765758498,1215,positive,0.6908,POSITIVE
2,1/3/2023,1219,1207,1215,1215,3392972131,1215,negative,0,NEUTRAL
3,1/4/2023,1265,1213,1215,1257,6404416893,1257,positive,-0.2878,NEGATIVE
4,1/5/2023,1259,1245,1256,1250,4001786456,1250,negative,-0.2732,NEGATIVE
5,1/6/2023,1273,1241,1250,1269,4977252792,1269,positive,0.4588,POSITIVE
6,1/7/2023,1271,1262,1269,1264,2565213548,1264,negative,-0.8555,NEGATIVE
7,1/8/2023,1287,1260,1264,1287,3495088905,1287,positive,,
8,1/9/2023,1342,1287,1287,1322,7990438824,1322,positive,0.8515,POSITIVE
9,1/10/2023,1343,1319,1321,1337,5830173253,1337,positive,0.3818,POSITIVE
10,1/11/2023,1388,1324,1336,1388,6314904311,1388,positive,0.8555,POSITIVE
11,1/12/2023,1432,1378,1405,1418,12230193038,1418,positive,0.658,POSITIVE
12,1/13/2023,1462,1404,1418,1452,7684148212,1452,positive,0.7263,POSITIVE
13,1/14/2023,1564,1451,1451,1551,15444626014,1551,positive,0.0129,POSITIVE
14,1/15/2023,1557,1521,1551,1552,6774614499,1552,negative,0.9243,POSITIVE
15,1/16/2023,1594,1530,1553,1577,8454485431,1577,positive,,
16,1/17/2023,1594,1553,1577,1568,7599462786,1568,negative,0,NEUTRAL
17,1/18/2023,1602,1509,1568,1516,10354880595,1516,positive,,
18,1/19/2023,1558,1514,1515,1553,6432638856,1553,negative,0,NEUTRAL
19,1/20/2023,1660,1545,1552,1660,8528894754,1660,positive,,
20,1/21/2023,1674,1627,1660,1627,8859250310,1627,positive,0.5106,POSITIVE
21,1/22/2023,1658,1612,1627,1628,7517988734,1628,negative,0,NEUTRAL
22,1/23/2023,1641,1608,1629,1628,8264507375,1628,negative,0.3891,POSITIVE
23,1/24/2023,1640,1551,1628,1557,8180274691,1557,negative,,
24,1/25/2023,1632,1531,1557,1612,10598973448,1612,negative,0.6705,POSITIVE
25,1/26/2023,1626,1587,1611,1603,8395315241,1603,negative,0.7579,POSITIVE
26,1/27/2023,1617,1565,1603,1598,8124465373,1598,negative,,
27,1/28/2023,1605,1565,1598,1572,5803653357,1572,negative,0.3182,POSITIVE
28,1/29/2023,1654,1569,1573,1646,8801292300,1646,positive,0,NEUTRAL
29,1/30/2023,1647,1547,1646,1567,9180418120,1567,negative,0,NEUTRAL
30,1/31/2023,1599,1564,1567,1587,6585191019,1587,negative,0.0772,POSITIVE
31,2/1/2023,1645,1567,1586,1642,8116969489,1642,positive,0.8264,POSITIVE
32,2/2/2023,1704,1641,1641,1643,10558081069,1643,positive,0.1531,POSITIVE
33,2/3/2023,1671,1634,1643,1665,8169519805,1665,negative,0.4271,POSITIVE
34,2/4/2023,1690,1648,1664,1667,5843302512,1667,positive,,
35,2/5/2023,1672,1616,1667,1632,6926696531,1632,negative,0.2263,POSITIVE
36,2/6/2023,1654,1611,1632,1616,6919871886,1616,negative,0.9213,POSITIVE
37,2/7/2023,1674,1615,1616,1672,8030277434,1672,positive,,
38,2/8/2023,1689,1635,1672,1651,7806089579,1651,positive,0.807,POSITIVE
39,2/9/2023,1655,1537,1651,1546,10524969124,1546,negative,0.5106,POSITIVE
40,2/10/2023,1553,1505,1547,1515,8397387897,1515,negative,0.7096,POSITIVE
41,2/11/2023,1541,1510,1515,1540,5064007416,1540,negative,0.8074,POSITIVE
42,2/12/2023,1546,1501,1540,1515,5319698775,1515,positive,0.4019,POSITIVE
43,2/13/2023,1525,1470,1515,1507,9363855114,1507,negative,-0.0516,NEGATIVE
44,2/14/2023,1562,1497,1507,1557,9249575045,1557,positive,0.6705,POSITIVE
45,2/15/2023,1674,1546,1557,1674,10015035156,1674,positive,0.9712,POSITIVE
46,2/16/2023,1733,1638,1674,1640,12704861676,1640,positive,0.5116,POSITIVE
47,2/17/2023,1717,1636,1640,1695,9802443159,1695,negative,0.8553,POSITIVE
48,2/18/2023,1705,1684,1695,1692,5491437195,1692,negative,0.5574,POSITIVE
49,2/19/2023,1719,1674,1692,1681,6959144003,1681,positive,0.5267,POSITIVE
50,2/20/2023,1716,1659,1682,1703,7703604237,1703,negative,0.7579,POSITIVE
51,2/21/2023,1714,1642,1703,1658,8721608198,1658,negative,0.1531,POSITIVE
52,2/22/2023,1664,1605,1658,1643,9189387004,1643,negative,0.6369,POSITIVE
53,2/23/2023,1675,1633,1643,1651,9013236167,1651,positive,0.9393,POSITIVE
54,2/24/2023,1661,1583,1651,1608,8909129423,1608,negative,0.8834,POSITIVE
55,2/25/2023,1609,1568,1609,1595,5657686235,1595,negative,0.8689,POSITIVE
56,2/26/2023,1645,1590,1595,1641,5727967432,1641,positive,0.7964,POSITIVE
57,2/27/2023,1663,1615,1641,1634,7239824677,1634,positive,0.9299,POSITIVE
58,2/28/2023,1644,1602,1635,1606,6323676957,1606,negative,0.9022,POSITIVE
59,3/1/2023,1663,1602,1606,1663,7701847224,1663,positive,0.802,POSITIVE
60,3/2/2023,1672,1623,1664,1647,7080950926,1647,positive,0.5829,POSITIVE
61,3/3/2023,1648,1552,1648,1569,9922240199,1569,negative,0.8481,POSITIVE
62,3/4/2023,1576,1552,1569,1567,4389045367,1567,negative,0.7698,POSITIVE
63,3/5/2023,1584,1560,1567,1564,5020886238,1564,positive,0.7698,POSITIVE
64,3/6/2023,1579,1557,1564,1567,5245153345,1567,negative,0.7501,POSITIVE
65,3/7/2023,1579,1543,1567,1562,6854058349,1562,negative,0.7698,POSITIVE
66,3/8/2023,1568,1534,1562,1534,7130327525,1534,negative,0.7698,POSITIVE
